"story_title","story_date_published","story_url","search_term_used"
"I ==:-== I PIRATES SINK AMBULANCE SHIP","1915-10-21","http://newspapers.library.wales/view/4100238/4100243/93/","German+Submarine"
"U-BOAT LOSSES.","1917-05-15","http://newspapers.library.wales/view/4103472/4103473/9/","German+Submarine"
"A FLOATING WRECK.","1915-02-06","http://newspapers.library.wales/view/4098507/4098508/7/","German+Submarine"
"SUBMARINE BLOWN UP. I","1915-02-11","http://newspapers.library.wales/view/4098539/4098540/15/","German+Submarine"
"[No title]","1916-01-07","http://newspapers.library.wales/view/4100762/4100767/110/","German+Submarine"
"ICYMRIC&apos;S WIRELESS MAN. I","1916-05-19","http://newspapers.library.wales/view/4101547/4101548/11/","German+Submarine"
"SET ON FIRE.I","1916-05-27","http://newspapers.library.wales/view/4101586/4101587/21/","German+Submarine"
"BIRTH OF A MYTH. I -I","1915-02-23","http://newspapers.library.wales/view/4098619/4098620/18/","German+Submarine"
"! LESSON TO U-80AT. I","1918-07-12","http://newspapers.library.wales/view/4105292/4105293/40/","German+Submarine"
"U.S. SUBMARINE LOST.","1917-12-19","http://newspapers.library.wales/view/4104423/4104424/10/","German+Submarine"
".100 LIVES LOST.1 —■ -lg> —","1917-12-24","http://newspapers.library.wales/view/4104443/4104444/11/","German+Submarine"
"I TRUSTED THE HUN.","1917-10-11","http://newspapers.library.wales/view/4104120/4104121/31/","German+Submarine"
"A MEAT TRAP.","1918-02-01","http://newspapers.library.wales/view/4104605/4104609/83/","German+Submarine"
"GERMAN CHARGES DENIED","1915-12-11","http://newspapers.library.wales/view/4100586/4100591/69/","German+Submarine"
",----I ANOTHER TRAWLER TORPEDOED. I -I","1915-04-20","http://newspapers.library.wales/view/4099022/4099023/19/","German+Submarine"
"CLOAK TO COWARDICE. -_*___","1916-11-16","http://newspapers.library.wales/view/4102574/4102575/5/","German+Submarine"
"SHELLED BY SUBMARINE","1915-04-22","http://newspapers.library.wales/view/4099038/4099043/81/","German+Submarine"
"...&quote;.......I NORWEGIAN GOVERNMENT ANGRY, j","1916-03-23","http://newspapers.library.wales/view/4101245/4101251/141/","German+Submarine"
"A PORTUGUESE REPORT. I","1916-11-20","http://newspapers.library.wales/view/4102597/4102598/36/","German+Submarine"
"THE NEWEST SUBMARINE","1916-03-28","http://newspapers.library.wales/view/4101273/4101274/21/","German+Submarine"
"I GERMAN LIES REPEATED. I","1918-01-18","http://newspapers.library.wales/view/4104545/4104546/10/","German+Submarine"
