comunidad_autonoma,provincia,poblacion,lat,lng
Andalucía,Huelva,San Silvestre de Guzmán,37.3884,-7.350305
Andalucía,Huelva,Sanlúcar de Guadiana,37.47318,-7.467861
Andalucía,Huelva,Santa Ana la Real,37.86396,-6.724445
Andalucía,Huelva,Santa Bárbara de Casa,37.79655,-7.188633
Andalucía,Huelva,Santa Olalla del Cala,37.90651,-6.229617
Andalucía,Huelva,Trigueros,37.38319,-6.833752
Andalucía,Huelva,Valdelarco,37.95044,-6.683222
Andalucía,Huelva,Valverde del Camino,37.57339,-6.753376
Andalucía,Huelva,Villablanca,37.30373,-7.341905
Andalucía,Huelva,Villalba del Alcor,37.39729,-6.476595
Andalucía,Huelva,Villanueva de las Cruces,37.62762,-7.024521
Andalucía,Huelva,Villanueva de los Castillejos,37.50046,-7.272443
Andalucía,Huelva,Villarrasa,37.38945,-6.606914
Andalucía,Huelva,Zalamea la Real,37.67891,-6.660578
Andalucía,Huelva,Zufre,37.83384,-6.338613
Andalucía,Jaén,Albanchez de Mágina,37.79165,-3.468285
Andalucía,Jaén,Alcalá la Real,37.46358,-3.925078
Andalucía,Jaén,Alcaudete,37.59106,-4.086735
Andalucía,Jaén,Aldeaquemada,38.41182,-3.371774
Andalucía,Jaén,Andújar,38.03675,-4.054391
Andalucía,Jaén,Arjona,37.93648,-4.054891
Andalucía,Jaén,Arjonilla,37.97355,-4.107027
Andalucía,Jaén,Arquillos,38.18201,-3.430886
Andalucía,Jaén,Arroyo del Ojanco,38.32092,-2.894979
Andalucía,Jaén,Baeza,37.99343,-3.469237
Andalucía,Jaén,Bailén,38.09588,-3.774859
Andalucía,Jaén,Baños de la Encina,38.17133,-3.774258
Andalucía,Jaén,Beas de Segura,38.25238,-2.889883
